부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일,대표 작품(원작)_원본
뒹굴뒹굴,돕돕돕,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/598401,제33회 디. 페스타 (토요일),Day1,
듀,식혜,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/617526,제33회 디. 페스타 (토요일),Day1,
듀듀듀,나격,,,,,4sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,fallin_nagyuk,https://dongne.co/event/df2604/circles/600860,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야하는구나
드로잉 피플 셀링 띵즈 마이 비지니스,희월,,,,,1sp,수퍼내추럴,,,"샘 윈체스터, 딘 윈체스터",,해당없음,딘샘,"일러스트,기타",higeuk,https://dongne.co/event/df2604/circles/614624,제33회 디. 페스타 (토요일),Day1,수퍼내추럴(미국TV드라마)
디페에이코,김녹차,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/602543,제33회 디. 페스타 (토요일),Day1,
딕그래그래마왕,ceggy,,,,,1sp,나이트윙,,,딕 그레이슨,,,,기타,ceggy676791,https://dongne.co/event/df2604/circles/612717,제33회 디. 페스타 (토요일),Day1,나이트윙
또롱별,이데아,,,,,2sp,,,,,,,,,ideatami,https://dongne.co/event/df2604/circles/595961,제33회 디. 페스타 (토요일),Day1,
똘콩이네,쿼카,,,,,2sp,붕괴 스타레일,이세계착각헌터,,,,,,일러스트,quokaisgood,https://dongne.co/event/df2604/circles/617548,제33회 디. 페스타 (토요일),Day1,붕괴 스타레일
똥차성녀 네버다이,요리왕위룡,,,,,1sp,명일방주,붕괴: 스타레일,,,오오토리 쿄우야X후지오카 하루히,로맨틱,,만화,sbornmaker,https://dongne.co/event/df2604/circles/605952,제33회 디. 페스타 (토요일),Day1,명일방주
뚱뚱땅땅,뚱땅,,,,,2sp,하이큐,,,카게야마 토비오,,,,일러스트,dd00nngg,https://dongne.co/event/df2604/circles/600676,제33회 디. 페스타 (토요일),Day1,하이큐
라이벌 파트너의 맛,솔,,,,,1sp,블루록,,나기이사 쁘띠존,,,"로맨틱,해당없음",,일러스트,bidamsora,https://dongne.co/event/df2604/circles/608427,제33회 디. 페스타 (토요일),Day1,블루록
랑하우스 솜옷장,랑하,,,,,1sp,솜인형 옷,,,,,,,,__rang_house,https://dongne.co/event/df2604/circles/598058,제33회 디. 페스타 (토요일),Day1,솜인형 옷
런치메뉴,キチコ ,,,,,4sp,오리지널,"리버스 1999,파판14,",,,,,,일러스트,kichiko____,https://dongne.co/event/df2604/circles/602386,제33회 디. 페스타 (토요일),Day1,오리지널
레몬크림소다,花,,,,,2sp,원신,,,"타르탈리아, 종려",타르탈리아X종려,로맨틱,없음,"기타,일러스트,만화",zero__nanaq,https://dongne.co/event/df2604/circles/616301,제33회 디. 페스타 (토요일),Day1,원신
로봇이 보이는 것 보다 가까이있음,윤슬,,,,,2sp,트랜스포머,,트랜스포머 쁘띠존,트랜스포머 올캐,,,,"만화,기타,일러스트",ruination_ysl,https://dongne.co/event/df2604/circles/595849,제33회 디. 페스타 (토요일),Day1,트랜스포머
롬다롬다롬,도람,,,,,2sp,포켓몬,스플래툰 프리큐어 앙스타,,,,,,,doramdarom,https://dongne.co/event/df2604/circles/596323,제33회 디. 페스타 (토요일),Day1,포켓몬
루엘드의 부스,루엘드,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나 ,"데뷔못하면 죽는 병 걸림 , 진혼기, 어두운 바다의 등불이 되어",,,,,,,fndpfeb3014,https://dongne.co/event/df2604/circles/609268,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나 
루카반,똘,,,,,1sp,도키걸즈,없음,,사쿠라이루카,사쿠라이루카X밤비,해당없음,,만화,albertobalssam,https://dongne.co/event/df2604/circles/601007,제33회 디. 페스타 (토요일),Day1,도키걸즈
마감을 목표로!,탓즈,,,,,1sp,,,,,,,,일러스트,basaktots,https://dongne.co/event/df2604/circles/611119,제33회 디. 페스타 (토요일),Day1,
마감이 임박해도 행사는 나와야 하는구나,단히,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,화산귀환,,솔음,,,,,danhi_15,https://dongne.co/event/df2604/circles/600540,제33회 디. 페스타 (토요일),Day1,괴담출근
마도구 바토라,사천원,,,,,2sp,"마왕학원의 부적격자 ~최강의 마왕의 시초, 전생해서 자손들의 학교에 다니다~",악마에 입문했습니다 이루마군,,"이루마, 오페라, 카르에고, 아리스, 클라라, 키리오",,해당없음,아즈이루,"일러스트,소설",4000won_ssul,https://dongne.co/event/df2604/circles/615142,제33회 디. 페스타 (토요일),Day1,악마에 입문했습니다 이루마군 mafia if
마라샹궈소금빵,농네,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/602930,제33회 디. 페스타 (토요일),Day1,
마리 공방,마리,,,,,1sp,노리개,"노리개 키링, 자수 공예품 등",,,,,,공예,,https://dongne.co/event/df2604/circles/607890,제33회 디. 페스타 (토요일),Day1,노리개
마리포사의 보물상자,마리포사,,,,,2sp,해리포터,,,,,,,,,https://dongne.co/event/df2604/circles/611440,제33회 디. 페스타 (토요일),Day1,해리포터
마블&DC 코믹스,"WE , 담현",,,,,2sp,DC 코믹스,마블 코믹스,,"배트맨,제이슨토드,스파이더맨",,,,일러스트,we_5104,https://dongne.co/event/df2604/circles/596976,제33회 디. 페스타 (토요일),Day1,DC 코믹스
마요공방,Roro,,,,,2sp,뜨개인형,,,,,,,,,https://dongne.co/event/df2604/circles/599908,제33회 디. 페스타 (토요일),Day1,뜨개인형
마카롱김치찌개 n회차,ㄲ1,,,,,4sp,"윈브레, 시광대리인",,,미정,,,,"만화,일러스트,공예",___kk1_,https://dongne.co/event/df2604/circles/599101,제33회 디. 페스타 (토요일),Day1,"윈브레, 시광대리인"
만국의 쓰젯러들이여 단결하라,코그가 꿰인 사람,,,,,2sp,트랜스포머,,트랜스포머 쁘띠존,"스타스크림, 스카이파이어(제트파이어)",스타스크림X스카이파이어(제트파이어),로맨틱,,만화,opmegone,https://dongne.co/event/df2604/circles/597518,제33회 디. 페스타 (토요일),Day1,트랜스포머
말랑말랑 스프레이빔,뱀하인,,,,,1sp,트랜스포머,,트랜스포머 쁘띠존,,,,,공예,elasious,https://dongne.co/event/df2604/circles/602470,제33회 디. 페스타 (토요일),Day1,트랜스포머
말랑말랑로봇협회 시즌2,MAYO,,,,,1sp,트랜스포머,,트랜스포머 쁘띠존,,,,,일러스트,frozenmayo_,https://dongne.co/event/df2604/circles/598205,제33회 디. 페스타 (토요일),Day1,트랜스포머
말랑뽀작우유식빵,아노센,,,,,2sp,스타레일,원신 젠레스존제로,,,,,,,,https://dongne.co/event/df2604/circles/600463,제33회 디. 페스타 (토요일),Day1,스타레일
맛보기 스푼,슈비시,,,,,2sp,괴수8호,"괴담출근, 주술회전, 데못죽, 제5인격, 플레이브, 데스노트, 히로아카, 하이큐, 은혼, 보석국, 봇치더락, 프리렌, 초카구야히메, 마법소녀",,"호시나 소우시로, 고죠 사토루, 츠키시마, L, 등등",,,,일러스트,shubish_see,https://dongne.co/event/df2604/circles/596918,제33회 디. 페스타 (토요일),Day1,괴수8호
맛있는 파스타,BN,,,,,4sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,,https://dongne.co/event/df2604/circles/595641,제33회 디. 페스타 (토요일),Day1,괴담출근
맛초킹,ming_,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/602416,제33회 디. 페스타 (토요일),Day1,
망자애호부스,새부리,,,,,2sp,원피스,화산귀환,,,,,,일러스트,asebury,https://dongne.co/event/df2604/circles/611005,제33회 디. 페스타 (토요일),Day1,원피스
먼지버섯,Kinoko,,,,,1sp,우마무스메,,,"시리우스 심볼리, 심볼리 루돌프",,,,"만화,게임","umanokono, uuzzangohayo",https://dongne.co/event/df2604/circles/603382,제33회 디. 페스타 (토요일),Day1,우마무스메
멈지,무기,,,,,1sp,진격거,히로아카,,,,,,,xustzz1,https://dongne.co/event/df2604/circles/611685,제33회 디. 페스타 (토요일),Day1,진격거
멍멍 안경샵,지아,,,,,2sp,,,,,,,,"일러스트,공예,조형",lnaglas,https://dongne.co/event/df2604/circles/609326,제33회 디. 페스타 (토요일),Day1,
메디아라한,호밀,,,,,1sp,페르소나 시리즈,"메타포, 젤다의 전설",,조커,,,,만화,homil_jpg,https://dongne.co/event/df2604/circles/596410,제33회 디. 페스타 (토요일),Day1,페르소나 시리즈
메론빵호타고출항해서세상구하기,"겜용팔, 사화",,,,,1sp,,,,,,로맨틱,,,,https://dongne.co/event/df2604/circles/617372,제33회 디. 페스타 (토요일),Day1,
메리크리도이스마스,사무,,,,,1sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,야마다 리키치X도이 한스케,,,,samuqaz,https://dongne.co/event/df2604/circles/610793,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
메밀밭,밀123,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,일러스트,,https://dongne.co/event/df2604/circles/601560,제33회 디. 페스타 (토요일),Day1,괴담출근
메이드 바이 꼬섭,꼬섭,,,,,1sp,명탐정 코난,나의 히어로 아카데미아,,"에도가와 코난, 미도리야 이즈쿠 등",,,,공예,songkkoseob,https://dongne.co/event/df2604/circles/597168,제33회 디. 페스타 (토요일),Day1,명탐정 코난
모몬가즈,모구토,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"내가 키운 S급들, 어두운 바다의 등불이 되어",,,,,현제유진 ,,,https://dongne.co/event/df2604/circles/610764,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
모소긴긴줄게___ㅣ하즈다!________,요운,,,,,1sp,닌타마,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",키리마루,,해당없음,단련조,"만화,일러스트,공예",ye_oun,https://dongne.co/event/df2604/circles/615858,제33회 디. 페스타 (토요일),Day1,닌타마
모에해도 출근을 해야 하는구나《모에출근》,키키,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,qpqi_163,https://dongne.co/event/df2604/circles/610339,제33회 디. 페스타 (토요일),Day1,괴담출근
모자란 지옥캠프의 단,눅눅한초코칩,,,,,1sp,닌자보이 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,,https://dongne.co/event/df2604/circles/615731,제33회 디. 페스타 (토요일),Day1,닌자보이 란타로
몰랐어,구미리,,,,,2sp,보컬로이드,,,,,,,,s29umm,https://dongne.co/event/df2604/circles/607098,제33회 디. 페스타 (토요일),Day1,보컬로이드
못또 유희 ,카드긁개,,,,,2sp,유희왕,,야미진 쁘띠존 < 강한 마음 x 다정한 마음 >,,어둠의 유우기X무토 유우기,로맨틱,,"만화,일러스트",,https://dongne.co/event/df2604/circles/595884,제33회 디. 페스타 (토요일),Day1,유희왕
몽글몽글,노갈,,,,,2sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,야마다 리키치X도이 한스케,,,"만화,일러스트",gak_0,https://dongne.co/event/df2604/circles/600325,제33회 디. 페스타 (토요일),Day1,닌타마란타로
몽솜 잡화점,몽솜,,,,,1sp,,,,,,,,,mongle_softly,https://dongne.co/event/df2604/circles/594948,제33회 디. 페스타 (토요일),Day1,
무기농 주스,선우,,,,,1sp,진격의 거인,"백미터, 지운대",,,,,,,,https://dongne.co/event/df2604/circles/598341,제33회 디. 페스타 (토요일),Day1,진격의 거인
무로마치 13번,괄호,,,,,2sp,원신,닌타마 란타로,,,,,,,toi_ttoi,https://dongne.co/event/df2604/circles/615421,제33회 디. 페스타 (토요일),Day1,원신
무로마치 교권 하락의 현장,안경,,,,,2sp,"닌타마, 닌자보이 란타로",,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","야마다 리키치, 도이 한스케, 케마 토메사부로, 젠포우지 이사쿠",야마다 리키치X도이 한스케,로맨틱,케마 토메사부로x젠포우지 이사쿠,만화,"igyeong81, weqwee13",https://dongne.co/event/df2604/circles/602809,제33회 디. 페스타 (토요일),Day1,"닌타마, 닌자보이 란타로"
무로마치닌자알페스,딜리트,,,,,1sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","케마 토메사부로, 젠포우지 이사쿠",케마 토메사부로X젠포우지 이사쿠,로맨틱,,소설,delli_ark,https://dongne.co/event/df2604/circles/596444,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
무리한 덕질,무리,,,,,2sp,데뷔 못 하면 죽는 병 걸림,,,신재현,신재현X류건우,"로맨틱,섹슈얼",,소설,m_u_l_i_y_a,https://dongne.co/event/df2604/circles/598487,제33회 디. 페스타 (토요일),Day1,데뷔 못하면 죽는 병 걸림
무스메vs머스마2,눌,,,,,1sp,앙스타,,,나즈나 시리우스,,,,만화,,https://dongne.co/event/df2604/circles/603094,제33회 디. 페스타 (토요일),Day1,앙스타
무언가 하는 부스 / 괴담회식 나눔,김머리,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/608433,제33회 디. 페스타 (토요일),Day1,
무언가의 반죽 상태,금식,,,,,1sp,아이실드21,술탄의게임,,,가오우X마르코,해당없음,,만화,go_d_eater,https://dongne.co/event/df2604/circles/610957,제33회 디. 페스타 (토요일),Day1,아이실드21
무엇이 나올까요? ,투투,,,,,1sp,울트라맨,트랜스포머,,"제로, 지드, ",,,사웨로디,만화,,https://dongne.co/event/df2604/circles/599022,제33회 디. 페스타 (토요일),Day1,울트라맨
무해무해,무해무해,,,,,1sp,스킵과 로퍼,"아따맘마, 테일즈런너",,이와쿠라 미츠미,,,,일러스트,muhae_muhae,https://dongne.co/event/df2604/circles/608898,제33회 디. 페스타 (토요일),Day1,스킵과 로퍼
무화과겉핥기,주차장,,,,,2sp,,,,,,,,,figtaster,https://dongne.co/event/df2604/circles/605961,제33회 디. 페스타 (토요일),Day1,
문화가 달라~,만복이네똥집,,,,,1sp,히스토리에,,,,,,,"만화,일러스트",mbdr_bin,https://dongne.co/event/df2604/circles/607889,제33회 디. 페스타 (토요일),Day1,히스토리에
물레네 이글루(표목이가 살고있어요),"물레, 표목",,,,,2sp,괴수8호,너희들은 변호됐다,,,나루미 겐X호시나 소우시로,"로맨틱,섹슈얼",강민재X차주한,"소설,공예",molegudock,https://dongne.co/event/df2604/circles/615725,제33회 디. 페스타 (토요일),Day1,괴수8호
물에 잠겨도 입이 강정,도도,,,,,1sp,너희들은 변호됐다 ,괴담출근,,,,,,,,https://dongne.co/event/df2604/circles/600766,제33회 디. 페스타 (토요일),Day1,너희들은 변호됐다 
뭐가 나올지 모르겠어요,윙치킨,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/613171,제33회 디. 페스타 (토요일),Day1,
뭐가 나올지 아무도 모르는 부스,@17171771_U,,,,,1sp,지운대,"프야생, 다이에이",,,,,,,17171771_u,https://dongne.co/event/df2604/circles/611109,제33회 디. 페스타 (토요일),Day1,지운대
뭐라도 내겠다는 마음,시니그린,,,,,1sp,모브사이코100,,,,카게야마시게오X레이겐아라타카,,,만화,sinigrin_sosite,https://dongne.co/event/df2604/circles/601579,제33회 디. 페스타 (토요일),Day1,모브사이코100
뭐라도나오는부스,소금물,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/616224,제33회 디. 페스타 (토요일),Day1,
뭐라도팔아보겠습니다,포,,,,,2sp,가라오케 가자!,패밀리 레스토랑 가자,,,,,,"공예,기타,만화",popotoploader,https://dongne.co/event/df2604/circles/613948,제33회 디. 페스타 (토요일),Day1,가라오케 가자
미(소녀 파괴대제) 연(명) 시(뮬레이션),삐그덕,,,,,1sp,트랜스포머,,트랜스포머 쁘띠존,메가트론,옵티머스 프라임X메가트론,해당없음,"스스메가, 탄메가, 디셉메가","소설,공예",trsfm_ysg,https://dongne.co/event/df2604/circles/597141,제33회 디. 페스타 (토요일),Day1,트랜스포머
미꾸먀꾸,먁,,,,,2sp,히카루가 죽은 여름,플레이브,,,,해당없음,,만화,mikkumyakku,https://dongne.co/event/df2604/circles/602207,제33회 디. 페스타 (토요일),Day1,히카루가 죽은 여름
미나냥과 상애,미나냥,,,,,2sp,,,,,,,,기타,mnn_neko,https://dongne.co/event/df2604/circles/611366,제33회 디. 페스타 (토요일),Day1,
미니미 아이들,sham,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,"전독시, 내스급",,"김솔음,  이자헌, 유중혁, 김독자",,,,,jk_sham,https://dongne.co/event/df2604/circles/600882,제33회 디. 페스타 (토요일),Day1,괴담출근
미봇환풍구보호협회,eme,,,,,1sp,트랜스포머 ,,트랜스포머 쁘띠존,하이가드,,,,소설,,https://dongne.co/event/df2604/circles/596493,제33회 디. 페스타 (토요일),Day1,트랜스포머 
미소녀가 좋아,미츠바,,,,,1sp,캐릭캐릭체인지,슈가슈가룬 디지캐럿,,,,,,"만화,일러스트,영상",mcb_0303,https://dongne.co/event/df2604/circles/610230,제33회 디. 페스타 (토요일),Day1,캐릭캐릭체인지
미소년중독,딱콩,,,,,1sp,테일즈런너,,,,,,,,hororob_,https://dongne.co/event/df2604/circles/610981,제33회 디. 페스타 (토요일),Day1,테일즈런너
미스터리쉘터 체리블랑,zilly,,,,,2sp,미스터리 쉘터 체리블랑,,,,,,,"일러스트,기타",willsstudio_,https://dongne.co/event/df2604/circles/610898,제33회 디. 페스타 (토요일),Day1,미스터리 쉘터 체리블랑
민남민,민남민,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/602879,제33회 디. 페스타 (토요일),Day1,
밀키트,hi1zzZ,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"은혼, 데못죽",,,,,,,hi1zzz,https://dongne.co/event/df2604/circles/600779,제33회 디. 페스타 (토요일),Day1,괴담출근
밍밍,삼밍,,,,,1sp,플레이브 헌터헌터,팬텀버스터즈 히로아카,,플레이브,,,,,_catcollecter,https://dongne.co/event/df2604/circles/613102,제33회 디. 페스타 (토요일),Day1,플레이브 헌터헌터
바리공방,yuri1501,,,,,1sp,,,,,,,,,varibari_,https://dongne.co/event/df2604/circles/612443,제33회 디. 페스타 (토요일),Day1,
바키로데이이제,뭉탱,,,,,2sp,프리파라,,,"신야, 우시미츠, 마리오, 아마리",마리오X아마리,,신야우시,"만화,일러스트",hiyung_2,https://dongne.co/event/df2604/circles/600418,제33회 디. 페스타 (토요일),Day1,프리파라
박기사&기박사,김유성,,,,,2sp,가비지타임,"윈드브레이커, 아이카츠",,기상호,,로맨틱,스오니레,"만화,기타",ilagseu195901,https://dongne.co/event/df2604/circles/610372,제33회 디. 페스타 (토요일),Day1,가비지타임
박실,몰랑,,,,,1sp,데뷔 못 하면 죽는 병 걸림,,,박문대,,,,,5ovog,https://dongne.co/event/df2604/circles/600635,제33회 디. 페스타 (토요일),Day1,데뷔 못하면 죽는 병 걸림
반장미아괴짜연맹,뽀르,,,,,1sp,닌자보이 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","아야베키하치로,타이라노타키야샤마루,토마츠사쿠베,칸자키사몬,츠기야산노스케,쿠로키쇼자에몽,이마후쿠히코시로",타이라노 타키야샤마루X아야베 키하치로,로맨틱,"사쿠미아, 쇼히코","만화,소설,사진,기타",seulilu193680,https://dongne.co/event/df2604/circles/612099,제33회 디. 페스타 (토요일),Day1,닌자보이 란타로
발키리 잡화점,요루네코,,,,,2sp,앙상블 스타즈!! ,,,카게히라 미카 × 이츠키 슈,미카X슈,로맨틱,"레이코가, 히요쥰","만화,공예,일러스트",nurungji_v,https://dongne.co/event/df2604/circles/597463,제33회 디. 페스타 (토요일),Day1,앙상블 스타즈!! 
발키리도 모르는것들이 예술을 아냐,나우,,,,,1sp,앙상블스타즈,,,,슈X미카,해당없음,,"일러스트,만화",nowcksr,https://dongne.co/event/df2604/circles/601827,제33회 디. 페스타 (토요일),Day1,앙상블스타즈
밤과밤,밤밤,,,,,2sp,빛과 밤의 사랑,괴담출근,빛과 밤의 사랑 쁘띠존 「휘명시디자이너연합회」,차이수,,,,"만화,일러스트",bambam_chao,https://dongne.co/event/df2604/circles/613464,제33회 디. 페스타 (토요일),Day1,빛과밤의사랑
밤식빵집,밤식,,,,,4sp,괴담에 떨어져도 출근을 해야 하는구나,데못죽 사카모토데이즈,,,,,,,bambread_,https://dongne.co/event/df2604/circles/598393,제33회 디. 페스타 (토요일),Day1,괴담출근
밥 한번 먹고 가,고롤,,,,,2sp,"던전밥,괴담출근,우마무스메,할로우나이트,블루아카이브,코난",뜨개,,"던전밥캐릭터,코난 나가노조, 괴담출근캐릭터",,,,"공예,기타",,https://dongne.co/event/df2604/circles/609488,제33회 디. 페스타 (토요일),Day1,"던전밥,괴담출근,우마무스메,할로우나이트,블루아카이브,코난"
밥심으로 운영중,tjsdn653,,,,,2sp,"페이트,괴담출근",,,,,로맨틱,리처아야,,,https://dongne.co/event/df2604/circles/610025,제33회 디. 페스타 (토요일),Day1,"페이트,괴담출근"
밥팅이들,퇴사기원B,,,,,1sp,괴담출근,"이세계 착각 헌터, 명탐정 코난",,,,,,일러스트,bpcho_gd,https://dongne.co/event/df2604/circles/603645,제33회 디. 페스타 (토요일),Day1,괴담 출근
배놀,리다,,,,,1sp,원피스,미정,,밀짚모자 해적단 외 해적 등등,트라팔가 로우X코라손,로맨틱,,만화,lukkikki,https://dongne.co/event/df2604/circles/600381,제33회 디. 페스타 (토요일),Day1,원피스
백사헌 vs 브라운 vs 강창호 누가 더 성가신가,wayter,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"이착헌, 오리지널(1차창작)",,,,,,"조형,일러스트,만화,소설",wayter_0918,https://dongne.co/event/df2604/circles/611964,제33회 디. 페스타 (토요일),Day1,괴담출근
백일몽 주식회사 춘계 워크샵,9999,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,괴담출근,,,,,,,,https://dongne.co/event/df2604/circles/602166,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
백흑의 자존심,"토토, 달걀",,,,,2sp,블루록,,나기이사 쁘띠존,"나기 세이시로, 이사기 요이치",나기 세이시로X이사기 요이치,로맨틱,,,"t0to0517, egg_blue__",https://dongne.co/event/df2604/circles/600027,제33회 디. 페스타 (토요일),Day1,블루록
범세계적 용기 동맹,이끼따이,,,,,2sp,지. -지구의 운동에 대하여-,닌타마,,,X,로맨틱,,"만화,소설,일러스트",ikkittai,https://dongne.co/event/df2604/circles/615388,제33회 디. 페스타 (토요일),Day1,지. -지구의 운동에 대하여-
베베또너,"아기,또너",,,,,2sp,니지산지,"우마무스메, 단간론파",,,,,,일러스트,"l3eel3eel3ee, popo2odod",https://dongne.co/event/df2604/circles/596449,제33회 디. 페스타 (토요일),Day1,니지산지
벨로이루,beloiro,,,,,2sp, 멸종위기동물 아트토이,,,멸종위기동물들,,,,"공예,조형",beloiro_bjd,https://dongne.co/event/df2604/circles/599117,제33회 디. 페스타 (토요일),Day1, 멸종위기동물 아트토이
벼락치기 닌자,무로마치 카우보이,,,,,1sp,닌타마,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,,https://dongne.co/event/df2604/circles/598597,제33회 디. 페스타 (토요일),Day1,닌타마
변신 그리고 발간이다!,치떡,,,,,2sp,트랜스포머,,트랜스포머 쁘띠존,"오라이온 팩스, 디-16, 옵티머스 프라임, 메가트론, 범블비 등",메가트론X옵티머스 프라임,로맨틱,,만화,toothpaste_qwq,https://dongne.co/event/df2604/circles/597143,제33회 디. 페스타 (토요일),Day1,트랜스포머
별조각 바다,소람,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"김솔음, 최요원",최요원X김솔음,로맨틱,,소설,st2llarium,https://dongne.co/event/df2604/circles/611653,제33회 디. 페스타 (토요일),Day1,괴담출근
볕이 드는 언덕길,쿠렌,,,,,2sp,가치아쿠타,"괴담출근, 은혼, 고전만화, 윈브레",,,,,,,,https://dongne.co/event/df2604/circles/596956,제33회 디. 페스타 (토요일),Day1,가치아쿠타
보송보송소미네,소미,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"창작, 헌터헌터 디지캐럿 등 고전만화",,,,,,,uncannysom,https://dongne.co/event/df2604/circles/600879,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
복숭아농원,선도,,,,,1sp,진혼기,화산귀환,,"자하, 설영",자하X설영,로맨틱,,"만화,일러스트,소설",seondo1309,https://dongne.co/event/df2604/circles/595249,제33회 디. 페스타 (토요일),Day1,진혼기
복실,몰랑,,,,,1sp,데뷔 못 하면 죄는 병 걸림,,,,,,,일러스트,5ovog,https://dongne.co/event/df2604/circles/600888,제33회 디. 페스타 (토요일),Day1,데못죽
복작복작,moraegorae,,,,,2sp,명탐정 코난,"나루토, 혈계전선",,"타카기, 사토, 나가노조",타카기X사토,,"나카노조, 칸유, 카카이루","소설,공예",,https://dongne.co/event/df2604/circles/596490,제33회 디. 페스타 (토요일),Day1,명탐정 코난
복합문화공간,33,,,,,2sp,오오에 (大穢),중장르,,,,,,,_3o03_,https://dongne.co/event/df2604/circles/614246,제33회 디. 페스타 (토요일),Day1,오오에
봄봄 스튜디오,아사,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,에이스테,,,,,,,,https://dongne.co/event/df2604/circles/600630,제33회 디. 페스타 (토요일),Day1,괴담출근
봉크스포머-몰댄힛디아이,ㅇㅋ,,,,,1sp,트랜스포머,,트랜스포머 쁘띠존,"메가트론, 옵티머스, 그 외 트랜스포머 캐릭터",메가트론X옵티머스,"로맨틱,섹슈얼",아스블리아스,"만화,소설,기타",ok_bun_123,https://dongne.co/event/df2604/circles/597227,제33회 디. 페스타 (토요일),Day1,트랜스포머
부대찌개,ㅅㅋㅇ,,,,,2sp,가비지타임,"슬램덩크, 파과",,진재유,성준수X진재유,로맨틱,"이규종수, 투우조각, 대협태웅",,,https://dongne.co/event/df2604/circles/612033,제33회 디. 페스타 (토요일),Day1,가비지타임
부부메크메옵메하는인간부부부스,스텡,,,,,2sp,트랜스포머,,트랜스포머 쁘띠존,"옵티머스 프라임, 메가트론",메가트론X옵티머스 프라임,"로맨틱,섹슈얼"," 옵티메가, 옵리타(옵엘), 메옵리타(메옵엘), 디오라, 오라디","만화,일러스트,소설",musical_sims,https://dongne.co/event/df2604/circles/595598,제33회 디. 페스타 (토요일),Day1,트랜스포머
부스 조금 고민중,뭐하지,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/598691,제33회 디. 페스타 (토요일),Day1,
부스럭,삥찌,,,,,2sp,데뷔 못 하면 죄는 병 걸림,어바등 괴담출근,,,,,,일러스트,bbing_zzi,https://dongne.co/event/df2604/circles/603103,제33회 디. 페스타 (토요일),Day1,데못죽
부스를내자,혜키,,,,,2sp,킹 오브 프리즘,"제5인격, 엘소드, 솜인형",,,,해당없음,,"일러스트,만화",mugengyahung,https://dongne.co/event/df2604/circles/613604,제33회 디. 페스타 (토요일),Day1,킹오브프리즘
부스부스,닷,,,,,1sp,어두운 바다의 등불이 되어,,,,,,,,,https://dongne.co/event/df2604/circles/599880,제33회 디. 페스타 (토요일),Day1,어두운 바다의 등불이 되어
부스잡고고민,뚜루,,,,,1sp,블루록,악입문,,이사기,,로맨틱,,,,https://dongne.co/event/df2604/circles/599223,제33회 디. 페스타 (토요일),Day1,블루록
