,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
10,888 정육점,08,,2sp,앙상블스타즈,,,오토가리 아도니스,,,,"만화,일러스트",https://dongne.co/event/vidol04/circles/105616,제 4회 어나더 스테이지,day2
11,:: IT SHOW TIME ::,설탕,,1sp,앙상블스타즈,데뷔못하면죽는병,,언데드 나이츠,사쿠마레이X아멜 드림주,로맨틱,리츠이즈 레오이즈,"만화,일러스트",https://dongne.co/event/vidol04/circles/144060,제 4회 어나더 스테이지,day2
12,A3 부스내는 견과류,아몬드,,1sp,A3!,,,"올캐릭, 여름조",,,,소설,https://dongne.co/event/vidol04/circles/103875,제 4회 어나더 스테이지,day2
13,AmericanoSoda,양어,,2sp,앙상블 스타즈,아이돌 마스터,,,,,,,https://dongne.co/event/vidol04/circles/106579,제 4회 어나더 스테이지,day2
14,CRAYON BOX,크레용,,2sp,아이돌리쉬 세븐,,,"야오토메 가쿠, 쿠죠 텐, 츠나시 류노스케",야오토메 가쿠X쿠죠 텐,섹슈얼,"류텐, 토리피",만화,https://dongne.co/event/vidol04/circles/107765,제 4회 어나더 스테이지,day2
15,Dessert party,티니푸딩,,2sp,BanG Dream!,,,츠루마키 코코로,오쿠사와 미사키 X츠루마키 코코로,로맨틱,히카와 사요 x 이마이 리사,만화,https://dongne.co/event/vidol04/circles/105164,제 4회 어나더 스테이지,day2
16,DSM,NU,,1sp,데뷔못하면죽는병걸림,,실낙원,,,"섹슈얼,로맨틱",,"만화,일러스트,소설",https://dongne.co/event/vidol04/circles/143606,제 4회 어나더 스테이지,day2
17,ES빌딩 천장에는 프로듀서가 살고 있다,밤초,,1sp,앙상블스타즈,,,"스위치, 알칼로이드",,로맨틱,타츠마요,소설,https://dongne.co/event/vidol04/circles/141806,제 4회 어나더 스테이지,day2
18,ES에서 피렌체까지,모어,,1sp,앙상블 스타즈!!,,,,세나 이즈미X스오우 츠카사,"로맨틱,섹슈얼",,소설,https://dongne.co/event/vidol04/circles/144808,제 4회 어나더 스테이지,day2
19,fortissimo,우쨔,,2sp,앙상블 스타즈!!,,,"츠키나가 레오, 세나 이즈미",츠키나가 레오X세나 이즈미,"섹슈얼,로맨틱",,만화,https://dongne.co/event/vidol04/circles/141897,제 4회 어나더 스테이지,day2
20,MGR,jz,,2sp,데뷔 못 하면 죽는 병 걸림,,,,,,,,https://dongne.co/event/vidol04/circles/150033,제 4회 어나더 스테이지,day2
21,Midnight Blue,"세르웬, 스잇",,2sp,프로젝트 세카이,,,,,,,"만화,일러스트,소설",https://dongne.co/event/vidol04/circles/148915,제 4회 어나더 스테이지,day2
22,Minor Planet No.b13,非일상,,1sp,데뷔 못하면 죽는병 걸림,,,,,,,,https://dongne.co/event/vidol04/circles/144216,제 4회 어나더 스테이지,day2
23,mix nuts!,Nenjyu,,1sp,앙스타,,,,,,,,https://dongne.co/event/vidol04/circles/108565,제 4회 어나더 스테이지,day2
24,Mr. Perfection2,따깨,,1sp,아이돌리쉬세븐,앙상블스타즈,,"이즈미 이오리, 나나세 리쿠",이즈미 이오리X나나세 리쿠,"섹슈얼,로맨틱","토마리쿠, 히요쥰",,https://dongne.co/event/vidol04/circles/106722,제 4회 어나더 스테이지,day2
25,Mr.Perfection,"따깨, 줏시",,1sp,아이돌리쉬 세븐,앙스타,,"이즈미 이오리, 나나세 리쿠",이즈미 이오리X나나세 리쿠,"로맨틱,섹슈얼","텐리쿠, 토마리쿠, 히요쥰","소설,일러스트",https://dongne.co/event/vidol04/circles/106711,제 4회 어나더 스테이지,day2
26,NEVERLAND,데스앙크,,2sp,앙스타,,,"이츠키 슈, 카게히라 미카",,"섹슈얼,로맨틱",,만화,https://dongne.co/event/vidol04/circles/105226,제 4회 어나더 스테이지,day2
27,NEVERLAND,데스앙크,,2sp,앙상블 스타즈,,,"카게히라 미카, 이츠키 슈",카게히라 미카X이츠키 슈,"로맨틱,섹슈얼",,만화,https://dongne.co/event/vidol04/circles/142268,제 4회 어나더 스테이지,day2
28,PIPO 샌드위치 ,달구,,1sp,앙상블 스타즈,,웨딩플랜 A to Z,"타카미네 미도리, 모리사와 치아키",타카미네 미도리X모리사와 치아키 ,"로맨틱,섹슈얼",,소설,https://dongne.co/event/vidol04/circles/142328,제 4회 어나더 스테이지,day2
29,Platina Comet,트리아논,,2sp,앙상블스타즈,러브라이브,,유우키 마코토,,섹슈얼,,"만화,일러스트",https://dongne.co/event/vidol04/circles/104573,제 4회 어나더 스테이지,day2
30,Pleistocene,알세닉,,1sp,앙상블스타즈,,,"타카미네 미도리, 모리사와 치아키",,로맨틱,,소설,https://dongne.co/event/vidol04/circles/117735,제 4회 어나더 스테이지,day2
31,Rose Salad,MERE,,1sp,앙상블 스타즈,,,,,섹슈얼,,"만화,일러스트",https://dongne.co/event/vidol04/circles/141161,제 4회 어나더 스테이지,day2
32,Royal Blue,MayChain,,1sp,앙상블스타즈,,,"사쿠마 리츠, 이사라 마오",사쿠마 리츠X이사라 마오,"로맨틱,섹슈얼",,만화,https://dongne.co/event/vidol04/circles/143812,제 4회 어나더 스테이지,day2
33,SNBR,시나브로,,1sp,앙상블스타즈!!,,,"아마기 히이로, 시라토리 아이라, 오우카와 코하쿠",아마기 히이로X시라토리 아이라,로맨틱,코하아이,만화,https://dongne.co/event/vidol04/circles/107895,제 4회 어나더 스테이지,day2
34,Violet Fantasia,사현,,1sp,아이돌 마스터 신데렐라 걸즈,,,"칸자키 란코, 니노미야 아스카, 호죠 카렌, 닛타 미나미",칸자키 란코X니노미야 아스카,해당없음,"칸자키 란코&니노미야 아스카, 호죠 카렌&타케우치P",소설,https://dongne.co/event/vidol04/circles/109403,제 4회 어나더 스테이지,day2
35,win-win을 위한 전략적 협력 관계 제안,코코아,,1sp,SHOW BY ROCK!!,,,"리카오, 쿠스카, yokazenohorizon",쿠스카X리카오,로맨틱,,일러스트,https://dongne.co/event/vidol04/circles/143708,제 4회 어나더 스테이지,day2
36,Yuletide,티스,,1sp,앙상블 스타즈!!,,,"이츠키슈, 텐쇼인에이치, 카게히라미카, HiMERU, 카제하야 타츠미",미카X슈,"로맨틱,섹슈얼,해당없음",히메타츠,소설,https://dongne.co/event/vidol04/circles/141833,제 4회 어나더 스테이지,day2
37,가보자고~,꾸물,,2sp,데뷔못하면 죽는 병 걸림,,,박문대,선아현X박문대,로맨틱,,만화,https://dongne.co/event/vidol04/circles/143354,제 4회 어나더 스테이지,day2
38,가상아이돌운동회,꾸룩,,1sp,데뷔 못하면 죽는 병 걸림,,,"신청려, 박문대, 이세진, 배세진, 그외",이세진X배세진,섹슈얼,,"소설,일러스트",https://dongne.co/event/vidol04/circles/145270,제 4회 어나더 스테이지,day2
39,가오네 마라탕,신가오,,2sp,데뷔 못 하면 죽는 병 걸림,,실낙원,"청려, 박문대, 류건우",청려X박문대,"섹슈얼,로맨틱",청려건우,"만화,소설,일러스트",https://dongne.co/event/vidol04/circles/142918,제 4회 어나더 스테이지,day2
40,감자 캐는 락커들,시츠,,1sp,앙상블 스타즈!!,보컬로이드,,리츠 (앙스타) 하츠네미쿠 (보컬로이드),호쿠토X스바루,로맨틱,"마오리츠,린네니키,와타에이",일러스트,https://dongne.co/event/vidol04/circles/142631,제 4회 어나더 스테이지,day2
41,감자튀김을 주문하면 피자가 따라와요,치토,,2sp,앙상블스타즈,,웨딩플랜 A to Z,"타카미네 미도리, 모리사와 치아키",타카미네 미도리X모리사와 치아키,,,소설,https://dongne.co/event/vidol04/circles/141521,제 4회 어나더 스테이지,day2
42,감튀를 간장에 찍어드셔보세요,Note,,1sp,앙상블스타즈,,,카나타 치아키,,,,소설,https://dongne.co/event/vidol04/circles/149597,제 4회 어나더 스테이지,day2
43,갓컾만 있는 부스,"루우, 나자",,2sp,앙상블 스타즈,,,"츠카사,레오",스오우 츠카사X츠키나가 레오,"로맨틱,섹슈얼",,"소설,만화",https://dongne.co/event/vidol04/circles/107360,제 4회 어나더 스테이지,day2
44,경음부실 관짝뚜껑,iple,,1sp,,,,,,,,,https://dongne.co/event/vidol04/circles/109495,제 4회 어나더 스테이지,day2
45,구름이뭉게뭉게,choco8342,,2sp,데못죽,,실낙원,문대,,"섹슈얼,로맨틱",,"만화,일러스트,기타",https://dongne.co/event/vidol04/circles/143281,제 4회 어나더 스테이지,day2
46,군주님은 언제나 옳은쪽,POPRIKA,,2sp,앙상블스타즈,,,아마기린네,니키X린네,,미도치아,"만화,소설",https://dongne.co/event/vidol04/circles/144342,제 4회 어나더 스테이지,day2
47,군주님이 오른쪽에 묶여있음,뀨,,1sp,앙상블 스타즈,,,아마기 린네,시이나 니키X아마기 린네,"로맨틱,섹슈얼",아미기 히이로X아마기 린네,소설,https://dongne.co/event/vidol04/circles/148330,제 4회 어나더 스테이지,day2
48,그 코끼리 나팔은 과연 어디에 달린걸까?,미식가,,1sp,데뷔 못하면 죽는 병 걸림,,실낙원,신재현 박문대 류건우,신재현X박문대,"섹슈얼,로맨틱",논컾,소설,https://dongne.co/event/vidol04/circles/145070,제 4회 어나더 스테이지,day2
49,그쪽동인이미지근한거겠죠,감티,,1sp,앙상블스타즈,,,"텐쇼인 에이치, 히비키 와타루",,로맨틱,,일러스트,https://dongne.co/event/vidol04/circles/148899,제 4회 어나더 스테이지,day2
50,근성건강원,Gk,,1sp,SHOW BY ROCK!,,,"도콘조핑거 / 소준 , 핫친 , 죠 , 야스",소준X핫친,,죠X야스,"만화,일러스트",https://dongne.co/event/vidol04/circles/144296,제 4회 어나더 스테이지,day2
51,기린댁....,기린,,1sp,앙상블스타즈 리츠마오,,,"사쿠마 리츠, 이사라 마오",사쿠마 리츠X이사라 마오,로맨틱,,소설,https://dongne.co/event/vidol04/circles/120825,제 4회 어나더 스테이지,day2
52,나이 여든에 찾은 내 가수님,돌도리스,,1sp,아이돌 마스터 side M,앙상블스타즈!!,,아쿠노 히데오,프로듀서X아쿠노 히데오,섹슈얼,아마기 히이로x카제하야 타츠미,"만화,기타",https://dongne.co/event/vidol04/circles/103792,제 4회 어나더 스테이지,day2
53,나이츠로 가보자고!,NEOSIO,,1sp,앙상블스타즈,,,나이츠+언데드,,,,"만화,기타",https://dongne.co/event/vidol04/circles/144229,제 4회 어나더 스테이지,day2
54,나쵸치즈,나즈,,1sp,앙상블 스타즈,,,"아마기 린네, HiMERU",아마기 린네XHiMERU,로맨틱,,만화,https://dongne.co/event/vidol04/circles/146562,제 4회 어나더 스테이지,day2
55,난 나를 믿어!,멋타쿠,,1sp,앙상블스타즈!!,,,,,,,"만화,소설",https://dongne.co/event/vidol04/circles/141391,제 4회 어나더 스테이지,day2
56,낡고지친,밤,,1sp,앙상블 스타즈,,,"니토나즈나,키류쿠로,이츠키슈",키류쿠로X이츠키슈,로맨틱,,"만화,일러스트,기타",https://dongne.co/event/vidol04/circles/104643,제 4회 어나더 스테이지,day2
57,내가 뭐라고 엋문 사이를 존X 갈라놔.,오늘의 연,,1sp,데뷔 못 하면 죽는 병 걸림,,실낙원,"테스타, 브이틱",청려X문대,해당없음,,공예,https://dongne.co/event/vidol04/circles/149556,제 4회 어나더 스테이지,day2
58,너무급해서부스명도생각안하고냅따지르는사람,팅,,1sp,데뷔 못하면 죽는 병 걸림,,실낙원,청려,청려X문대,,,"일러스트,기타",https://dongne.co/event/vidol04/circles/143528,제 4회 어나더 스테이지,day2
59,네..제가테스타의일반인팬이맞습니다,자퇴봇,,2sp,,,,"선아현, 박문대, 청려",,"로맨틱,섹슈얼",,일러스트,https://dongne.co/event/vidol04/circles/120939,제 4회 어나더 스테이지,day2
60,네이비드,이코즈,,2sp,앙상블스타즈!!,,,"츠키나가 레오, 세나 이즈미",,로맨틱,,만화,https://dongne.co/event/vidol04/circles/144086,제 4회 어나더 스테이지,day2
61,네코마마,"레이카,마키시,시에",,2sp,데뷔 못하면 죽는 병 걸림,,,테스타,,,"테스타, 청려, 논커플링",,https://dongne.co/event/vidol04/circles/142792,제 4회 어나더 스테이지,day2
62,넴,넴,,2sp,데못죽,앙상블스타즈,,올캐러,,,,,https://dongne.co/event/vidol04/circles/147460,제 4회 어나더 스테이지,day2
63,놀그있네,놀그,,1sp,앙스타 앙상블 스타즈,,,카제하야 타츠미,,"로맨틱,섹슈얼",리츠하지리츠,"만화,일러스트",https://dongne.co/event/vidol04/circles/109588,제 4회 어나더 스테이지,day2
64,농업회사법인 주식회사 눈복숭아 제작소,만델링,,2sp,아이돌리쉬 세븐,,,"유키, 모모",유키X모모,"로맨틱,섹슈얼",,,https://dongne.co/event/vidol04/circles/107410,제 4회 어나더 스테이지,day2
65,눈꽃빙수 복숭아맛 1100그릇 주세요,유타페,,2sp,아이돌리쉬세븐,아이나나,,,,"로맨틱,섹슈얼",,"소설,만화",https://dongne.co/event/vidol04/circles/103914,제 4회 어나더 스테이지,day2
66,눈복숭아가 커피내리고 호랑뱀이 빵구워요,모람,,2sp,아이돌리쉬세븐,,,"유키, 모모",유키X모모,로맨틱,미도 토라오 x 나츠메 미나미,소설,https://dongne.co/event/vidol04/circles/142234,제 4회 어나더 스테이지,day2
67,다다두다,다다두다,,2sp,데뷔 못하면 죽는 병 걸림 (데못죽),앙상블 스타즈 뮤직 (앙스타/앙뮤직),,,,,,,https://dongne.co/event/vidol04/circles/149645,제 4회 어나더 스테이지,day2
68,다이아한상자,다야,,2sp,앙상블스타즈,,,카게히라미카 카제하야타츠미 히메루,,로맨틱,타츠미x히메루,만화,https://dongne.co/event/vidol04/circles/104736,제 4회 어나더 스테이지,day2
69,달그림자,수월,,1sp,"츠키프로(츠키노 프로덕션), 츠키우타, VAZZROCK",,,,,해당없음,VAZZROCK 올캐러,소설,https://dongne.co/event/vidol04/circles/108306,제 4회 어나더 스테이지,day2
70,달링의 특제 허니라떼,로파,,1sp,츠키프로,앙스타,,"타카무라 시키, 오쿠이 츠바사",,로맨틱,레이카오,소설,https://dongne.co/event/vidol04/circles/108549,제 4회 어나더 스테이지,day2
71,대재앙 로맨스,"쌈, 곰찌",,2sp,데뷔 못 하면 죽는 병 걸림,,세진이네 아이돌 남자친구,"이세진, 배세진",이세진X배세진,"로맨틱,섹슈얼",큰세배세,"소설,만화",https://dongne.co/event/vidol04/circles/142982,제 4회 어나더 스테이지,day2
72,댕댕이 행복추구협회,알레사,,1sp,데뷔 못 하면 죽는 병 걸림,,실낙원,"박문대, 청려, 류건우",청려X문대,로맨틱,청려건우,소설,https://dongne.co/event/vidol04/circles/142441,제 4회 어나더 스테이지,day2
73,데한민국 입국심사중,최노이,,2sp,데뷔 못하면 죽는 병에 걸림,,실낙원,,,로맨틱,,소설,https://dongne.co/event/vidol04/circles/149995,제 4회 어나더 스테이지,day2
74,도토리카페,riri,,1sp,앙상블스타즈,,,나루카미아라시,,,,"만화,일러스트",https://dongne.co/event/vidol04/circles/144269,제 4회 어나더 스테이지,day2
75,동인 실직의 현 주소,미꼬,,1sp,앙상블 스타즈!!,,,"사쿠마 리츠, 이사라 마오",사쿠마 리츠X이사라 마오,로맨틱,,소설,https://dongne.co/event/vidol04/circles/144875,제 4회 어나더 스테이지,day2
76,뚜뚠따라,댁수,,1sp,데뷔 못 하면 죽는 병 걸림,킹프리,,큰세문대,,,카케타이,"만화,일러스트",https://dongne.co/event/vidol04/circles/143431,제 4회 어나더 스테이지,day2
77,뚜벅초,장의사,,1sp,데뷔 못 하면 죽는 병에 걸림,오리지널,,박문대,문대X청려,"로맨틱,섹슈얼",,만화,https://dongne.co/event/vidol04/circles/108655,제 4회 어나더 스테이지,day2
78,뛰어봤자 늦었어요,제파,,1sp,데못죽,,,,,해당없음,,,https://dongne.co/event/vidol04/circles/144592,제 4회 어나더 스테이지,day2
79,띄어쓰기없이보낼게나또부스냈다,브리,,4sp,앙상블 스타즈!,앙상블 스타즈!!,,"안즈, 신카이 카나타, 세나 이즈미, 오오가미 코가, 모리사와 치아키, 텐쇼인 에이치",안즈른X,"로맨틱,섹슈얼","코가안즈, 이즈안즈, 치아에이, 그 외 안즈른","만화,소설",https://dongne.co/event/vidol04/circles/103694,제 4회 어나더 스테이지,day2
80,랸랸쩝쩝,랸랸,,1sp,앙상블스타즈,,,,,,,"공예,기타",https://dongne.co/event/vidol04/circles/103569,제 4회 어나더 스테이지,day2
81,러뷰어셀프,근,,2sp,데뷔 못 하면 죽는 병 걸림,,,올 캐릭터,,해당없음,,일러스트,https://dongne.co/event/vidol04/circles/149487,제 4회 어나더 스테이지,day2
82,레오 군은 입만 움직여,온,,2sp,앙상블 스타즈!!,,,"츠키나가 레오, 세나 이즈미",츠키나가 레오X세나 이즈미,"섹슈얼,로맨틱",,"만화,일러스트",https://dongne.co/event/vidol04/circles/142727,제 4회 어나더 스테이지,day2
83,렌선 차돌박이 파티,"세렌, 신차돌",,2sp,데뷔 못 하면 죽는 병 걸림,,실낙원,"청려(신재현), 박문대",청려(신재현)X박문대,로맨틱,,소설,https://dongne.co/event/vidol04/circles/143251,제 4회 어나더 스테이지,day2
84,로맨틱?? 로맨틱?! 로맨틱!!,코코아,,1sp,"아이나나, 아이돌리쉬세븐",,,"모모, 유키",모모유키,섹슈얼,,,https://dongne.co/event/vidol04/circles/108735,제 4회 어나더 스테이지,day2
85,류청우에게 미친 여자들,먕,,2sp,데뷔못하면 죽는병 걸림,,,"테스타, 신재현, 류건우",청려X문대,"로맨틱,섹슈얼","청우×청려, 청우×문대, 아현×문대, 문대×청우, 청우른","만화,일러스트,소설",https://dongne.co/event/vidol04/circles/147432,제 4회 어나더 스테이지,day2
86,멍멍이즘,나루세,,2sp,앙상블 스타즈!!(앙스타),,,,사쿠마 레이X오오가미 코가,,,만화,https://dongne.co/event/vidol04/circles/105477,제 4회 어나더 스테이지,day2
87,메리미,메리,,1sp,데뷔 못 하면 죽는 병 걸림,,실낙원,"청려, 문대",청려X문대,,,소설,https://dongne.co/event/vidol04/circles/142614,제 4회 어나더 스테이지,day2
88,몰또사와치아키 그만사와치아키,얀고,,1sp,앙상블스타즈,,,"모리사와치아키, 유성대",,,,"일러스트,공예",https://dongne.co/event/vidol04/circles/142688,제 4회 어나더 스테이지,day2
89,무도가심 프로듀서,심서,,1sp,앙상블스타즈!!,,,나구모테토라,아마기 히이로X나구모 테토라,"로맨틱,섹슈얼","카오소마, 마다쿠로","만화,기타",https://dongne.co/event/vidol04/circles/141576,제 4회 어나더 스테이지,day2
90,문대른 게스트북,하현,,1sp,데뷔 못하면 죽는 병 걸림(데못죽),,,박문대,X박문대,로맨틱,"배세문대, 아현문대, 유진문대, 청려문대, 청우문대, 큰세문대, 래빈문대","만화,소설,일러스트",https://dongne.co/event/vidol04/circles/145203,제 4회 어나더 스테이지,day2
91,문대볼따구 박박문대,유마,,2sp,데뷔 못 하면 죽는 병 걸림,,,,X박문대,,,"만화,일러스트",https://dongne.co/event/vidol04/circles/143327,제 4회 어나더 스테이지,day2
92,뭐라도 해볼부스,"세싹, 로렌",,2sp,앙상블 스타즈!!,,,나이츠,,해당없음,,일러스트,https://dongne.co/event/vidol04/circles/149138,제 4회 어나더 스테이지,day2
93,미도치아이번에결혼함기사뜸,69,,1sp,앙상블 스타즈,,웨딩플랜 A to Z,"타카미네 미도리, 모리사와 치아키",,"로맨틱,섹슈얼",,만화,https://dongne.co/event/vidol04/circles/144560,제 4회 어나더 스테이지,day2
94,미지근한 동인,아모,,1sp,앙상블 스타즈,,,츠키나가 레오,세나 이즈미X츠키나가 레오,"섹슈얼,로맨틱",,만화,https://dongne.co/event/vidol04/circles/107734,제 4회 어나더 스테이지,day2
95,민첩한 하루되세요^^,티피,,2sp,데뷔 못하면 죽는 병 걸림 ,,,"배세진, 박문대, 선아현, 이세진",,해당없음,,일러스트,https://dongne.co/event/vidol04/circles/148944,제 4회 어나더 스테이지,day2
96,바삭바삭사쿠마,곰쟝,,1sp,앙스타,,,"사쿠마 레이, 사쿠마 리츠",,"섹슈얼,로맨틱",,"만화,일러스트",https://dongne.co/event/vidol04/circles/148423,제 4회 어나더 스테이지,day2
97,박문대둥기둥기,스댕,,2sp,데뷔 못하면 죽는 병 걸림,,,박문대,,"로맨틱,섹슈얼",문대른,,https://dongne.co/event/vidol04/circles/143679,제 4회 어나더 스테이지,day2
98,박문대사랑해,루카팡,,1sp,데뷔 못 하면 죽는 병에 걸림,,실낙원,박문대른,,해당없음,박문대른,,https://dongne.co/event/vidol04/circles/142657,제 4회 어나더 스테이지,day2
99,박문대죽도록사랑해,김귤,,1sp,데뷔못하면죽는병걸림,,,박문대,,섹슈얼,,만화,https://dongne.co/event/vidol04/circles/149420,제 4회 어나더 스테이지,day2
100,박카스F,물고기이이,,1sp,앙상블스타즈,데못죽,,,,,,,https://dongne.co/event/vidol04/circles/104181,제 4회 어나더 스테이지,day2
101,반남우상학회,쉬흘라,,2sp,아이돌마스터,,,,,,,"만화,소설,기타",https://dongne.co/event/vidol04/circles/104494,제 4회 어나더 스테이지,day2
102,백수네 식탁,kyeng1001,,1sp,앙상블스타즈,,,,,"로맨틱,섹슈얼",리츠마오,소설,https://dongne.co/event/vidol04/circles/143768,제 4회 어나더 스테이지,day2
103,별가루,별빛,,1sp,앙상블 스타즈 ,,,"시이나 니키, 아야세 마요이 ",시이나 니키X아야세 마요이 ,"로맨틱,섹슈얼","린히메, 카나카오",소설,https://dongne.co/event/vidol04/circles/141323,제 4회 어나더 스테이지,day2
104,병지먹방,할녀,,1sp,앙상블스타즈!,,,사쿠마 레이,,,,"만화,일러스트",https://dongne.co/event/vidol04/circles/104110,제 4회 어나더 스테이지,day2
105,부스를 신청하면 뭐든 하지 않을까,sub,,1sp,앙상블 스타즈!!(앙스타),,,하스미 케이토,사쿠마 레이X하스미 케이토,"섹슈얼,로맨틱",쿠로케이,소설,https://dongne.co/event/vidol04/circles/105443,제 4회 어나더 스테이지,day2
106,불꽃오뎅죽는병,우사링,,2sp,앙상블스타즈,데뷔 못하면 죽는 병,,"에덴, 유성대",,해당없음,,,https://dongne.co/event/vidol04/circles/144170,제 4회 어나더 스테이지,day2
107,불사조의 노래,아를카미유,,2sp,뱅드림,,,"Roselia, 미나토 유키나, 히카와 사요, 이마이 리사, 시로카네 린코, 우다가와 아코",미나토 유키나X이마이 리사,해당없음,,소설,https://dongne.co/event/vidol04/circles/105177,제 4회 어나더 스테이지,day2
108,붕어빵은 슈붕이지,슈붕,,2sp,데뷔 못하면 죽는 병 걸림,,실낙원,"박문대, 청려",청려X박문대,로맨틱,,만화,https://dongne.co/event/vidol04/circles/141914,제 4회 어나더 스테이지,day2
109,빠칭코에 계란후라이를 곁들인 부스,린치,,1sp,앙상블 스타즈!!,,,"아마기 린네, 시이나 니키",아마기 린네X시이나 니키,"로맨틱,섹슈얼",,"만화,일러스트",https://dongne.co/event/vidol04/circles/144014,제 4회 어나더 스테이지,day2
110,뿌잉뿌잉과 모순,멍선생Q,,1sp,데뷔 못하면 죽는 병 걸림,,,"박문대, 류청우, 선아현, 이세진, 배세진, 김래빈, 차유진",류청우X박문대,로맨틱,,"소설,공예",https://dongne.co/event/vidol04/circles/143398,제 4회 어나더 스테이지,day2
111,쁘띠뽀짝,뽀짝쿵야,,1sp,데뷔 못 하면 죽는 병 걸림,,,박문대 류청우 배세진 이세진 선아현 김래빈 차유진 신재현,,,,"기타,일러스트",https://dongne.co/event/vidol04/circles/144226,제 4회 어나더 스테이지,day2
112,사 탕 조 아,프리티 파이브 부흥회,,1sp,앙상블 스타즈!!,히프노시스 마이크,,"아야세 마요이, 프리티 파이브, 발키리, 유우키 마코토, 플링 포세",센고쿠 시노부X아야세 마요이,로맨틱,"슈미카, 마요이 오른쪽, 라무다 논컾, 레오이즈","소설,일러스트",https://dongne.co/event/vidol04/circles/106625,제 4회 어나더 스테이지,day2
113,사과메론쨈,쨈,,1sp,데뷔 못하면 죽는 병 걸림,앙상블스타즈!!,,이세진,박문대X이세진,로맨틱,"청우큰세, 린히메",소설,https://dongne.co/event/vidol04/circles/143255,제 4회 어나더 스테이지,day2
114,사랑의 마법은 풀리지않아♪,악티,,1sp,앙상블 스타즈,,,,아오바 츠무기X사카사키 나츠메,"로맨틱,섹슈얼",,"만화,일러스트",https://dongne.co/event/vidol04/circles/145838,제 4회 어나더 스테이지,day2
115,사랑의 트랩카드,갈릭,,2sp,앙상블스타즈,,,,사쿠마 레이X오오가미 코가,,,만화,https://dongne.co/event/vidol04/circles/104226,제 4회 어나더 스테이지,day2
116,사랑하는 히어로들을 위하여,미야,,1sp,앙상블 스타즈,,웨딩플랜 A to Z,"타카미네 미도리, 모리사와 치아키",타카미네 미도리X모리사와 치아키,로맨틱,,기타,https://dongne.co/event/vidol04/circles/145223,제 4회 어나더 스테이지,day2
117,사쿠마 친근 위원회,키쿠,,1sp,앙스타(앙상블 스타즈!!),,,"사쿠마 레이, 사쿠마 리츠",사쿠마 레이X사쿠마 리츠,섹슈얼,,소설,https://dongne.co/event/vidol04/circles/147417,제 4회 어나더 스테이지,day2
118,새벽의 끝,하얀,,1sp,데뷔 못하면 죽는 병 걸림,,실낙원,"청려, 박문대",청려X문대,"로맨틱,섹슈얼",,소설,https://dongne.co/event/vidol04/circles/145179,제 4회 어나더 스테이지,day2
