,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
136,여러분 리듬게임 하세요,야채,,1sp,코나미 리듬게임,"메이플스토리, 이터널 리턴",,"쿠로(노스텔지어), 데몬(메이플스토리)",,해당없음,,"소설,기타",https://dongne.co/event/game03/circles/143311,제 3회 오락관,day2
137,여름엔 퍼거스커피 여름엔 디미레스,아라,,2sp,파이어엠블렘 풍화설월,,,벨레스 아이스너,,"로맨틱,섹슈얼",,"소설,기타",https://dongne.co/event/game03/circles/107391,제 3회 오락관,day2
138,연애빼고다하기,누구누구,,1sp,트위스테,앙스타,,,에이스X듀스,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/142486,제 3회 오락관,day2
139,영감에게16길촉,아사네,,1sp,파이널판타지14,단간론파,,,에메트셀크X빛의전사(여),,,"만화,기타",https://dongne.co/event/game03/circles/143645,제 3회 오락관,day2
140,영원한 마감러의 부스,와뉴,,1sp,영원한 7일의 도시,로드 오브 히어로즈,,여자 지휘사,,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/103991,제 3회 오락관,day2
141,영원한 앙상블의 도시,에바님,,2sp,"영원한 7일의 도시,",앙상블 스타즈!!,,지휘사,세츠X지휘사(여),로맨틱,"지휘사(남)x아라시, 히이로x아이라",만화,https://dongne.co/event/game03/circles/107596,제 3회 오락관,day2
142,오락도 락이다,Myacc,,2sp,파이어 엠블렘 풍화설월,"아이돌 마스터 Side M(사이마스), 라테일, 로드 오브 히어로즈(로오히), 신도 야근을 하나요?(신야근)",,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/143408,제 3회 오락관,day2
143,우리 조슈아가 이렇게 예뻐요,월님,,2sp,로드오브 히어로즈,사이퍼즈,,조슈아,요한X조슈아,로맨틱,,공예,https://dongne.co/event/game03/circles/147890,제 3회 오락관,day2
144,우리가 아르노다!,특대파르페,,2sp,궤적 시리즈,앙상블 스타즈!,,알바레아 형제,루퍼스X유시스,"섹슈얼,로맨틱","모브C, 모브루퍼","만화,소설",https://dongne.co/event/game03/circles/141476,제 3회 오락관,day2
145,울어른강강쥐절대행복하게만들어주겠어,말세,,1sp,버디미션bond,,버디버디 ~사람과 사람을 잇는 본드~ 2회,"체슬리, 루크",,해당없음,,,https://dongne.co/event/game03/circles/143730,제 3회 오락관,day2
146,원주종지하철광인(3호선),에스,,1sp,마법사의 약속,,,"레녹스, 파우스트",,,,"만화,일러스트,기타",https://dongne.co/event/game03/circles/147922,제 3회 오락관,day2
147,윙 치킨..,채소김채소,,1sp,록맨,,,,,섹슈얼,,"일러스트,만화",https://dongne.co/event/game03/circles/143544,제 3회 오락관,day2
148,유비디스커넥트,3B,,1sp,어쌔신 크리드,유비게임들,,켄웨이,,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/107432,제 3회 오락관,day2
149,유죄기어 & 돌남x,hdr,,2sp,"길티기어, 록맨",,,"올캐러, 제로, 엑스",,해당없음,,"만화,일러스트",https://dongne.co/event/game03/circles/141872,제 3회 오락관,day2
150,"윤회, 그거 다시 돌려줘!",립스,,1sp,"영원한7일의도시,백야극광",PERSONA 3/4/5,,"논컾, 플레이어플캐릭터 위주",X,해당없음,,"기타,일러스트",https://dongne.co/event/game03/circles/142564,제 3회 오락관,day2
151,음유시가(吟遊詩歌),강태헌,,2sp,엘소드,라테일 엘소드,,,,,검호히어 셀레리버 닉스리버,,https://dongne.co/event/game03/circles/148499,제 3회 오락관,day2
152,이 부스가 행사에 나온다면 제가 마감에 성공했다는 뜻이겠죠,겨울,,1sp,포켓몬스터 소드실드,,,"단델, 금랑",X,로맨틱,,"소설,일러스트,기타",https://dongne.co/event/game03/circles/105079,제 3회 오락관,day2
153,이거 게이볼그 아냐 아쳐,이록기,,1sp,페이트 그랜드 오더,페이트 스테이 나이트,,에미야, 쿠훌린X에미야,섹슈얼,,"만화,공예",https://dongne.co/event/game03/circles/104200,제 3회 오락관,day2
154,이걸... 또 먹는군요?,하밀,,4sp,엘소드,,,"아인, 애드, 청",X,"섹슈얼,로맨틱","아인 3라인 왼, 센츄페팬","만화,일러스트,소설",https://dongne.co/event/game03/circles/107008,제 3회 오락관,day2
155,이구동성 망팟,셀,,2sp,페르소나5,"풍화설월, 로드 오브 히어로즈",,주인공,,,,,https://dongne.co/event/game03/circles/104149,제 3회 오락관,day2
156,인도공주와 궁정고영의 집사,에나,,2sp,fate/grand order,,,아르주나,카르나X아르주나,로맨틱,아마살리,"만화,소설",https://dongne.co/event/game03/circles/104559,제 3회 오락관,day2
157,일단신청해,amaama,,1sp,"롤, 오버워치",,,,,,,,https://dongne.co/event/game03/circles/144367,제 3회 오락관,day2
158,장터게시판,오늘,,2sp,파이널판타지14,,,,,,,공예,https://dongne.co/event/game03/circles/108727,제 3회 오락관,day2
159,재고전시장,재고사장,,1sp,드래곤네스트,세포신곡,,,,,,일러스트,https://dongne.co/event/game03/circles/148197,제 3회 오락관,day2
160,쟈근행복,쟈근행복,,1sp,로드 오브 히어로즈 (로오히),,,"자이라, 조슈아",,해당없음,,만화,https://dongne.co/event/game03/circles/150139,제 3회 오락관,day2
161,저지 하실 분?,뭉,,1sp,저지먼트 시리즈,,,야가미,야가미 타카유키X스기우라 후미야,로맨틱,,만화,https://dongne.co/event/game03/circles/144508,제 3회 오락관,day2
162,전국포터연합,닉네임방랑자,,2sp,데스 스트랜딩,,,"샘 포터 브리짓스, 힉스, 클리포드 엉거, 프레자일, 아멜리",트레버X마이클,"로맨틱,섹슈얼","힉스샘, 클리샘, 프레샘, 아멜샘, 샘른","만화,소설",https://dongne.co/event/game03/circles/106957,제 3회 오락관,day2
163,전수량 선입금 예약판매,Era,,1sp,파이어 엠블렘 풍화설월,,,"페르디난트, 휴베르트",페르디난트X휴베르트,"섹슈얼,로맨틱",벨레트x펠릭스,소설,https://dongne.co/event/game03/circles/143943,제 3회 오락관,day2
164,접기 전까진 망겜,kez,,1sp,영원한 7일의 도시,로드 오브 히어로즈,,"여지휘사, 안화, 유우토, 이스카리오, 이자크 등",신기사X지휘사(여),"로맨틱,섹슈얼",로드로드,소설,https://dongne.co/event/game03/circles/107224,제 3회 오락관,day2
165,제1회샬레이안동인연구회,호루,,2sp,파이널판타지14,,,그라하 티아/수정공,,"섹슈얼,로맨틱",,"만화,일러스트",https://dongne.co/event/game03/circles/147797,제 3회 오락관,day2
166,제가 내면 얘도 낸대요,히에,,2sp,"파이널 판타지 14, 뉴 단간론파 V3",,,,,,"빛전라하, 아마사이",소설,https://dongne.co/event/game03/circles/147968,제 3회 오락관,day2
167,제국게이와 왕국게이 나오는 부스,두릅,,2sp,파이어 엠블렘 풍화설월,,,페르디난트,휴베르트X페르디난트,로맨틱,실뱅x펠릭스,게임,https://dongne.co/event/game03/circles/104285,제 3회 오락관,day2
168,조류둥지,두루미,,1sp,포켓몬,,,금랑,,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/140664,제 3회 오락관,day2
169,주인공이 아무리 콩나물이여도 밥은 챙겨먹이고 싶어!,쿼티,,1sp,세포신곡,,,아토 하루키,,,,만화,https://dongne.co/event/game03/circles/143212,제 3회 오락관,day2
170,중앙시장,완규,,1sp,마법사의 약속,,,"카인,오웬",카인X오웬,로맨틱,,만화,https://dongne.co/event/game03/circles/143975,제 3회 오락관,day2
171,쥑쥑이 괴도단,Pinut,,1sp,페르소나 시리즈,포켓몬,,마음의 괴도단,아마미야 렌X사카모토 류지,"해당없음,로맨틱",,"일러스트,기타",https://dongne.co/event/game03/circles/143250,제 3회 오락관,day2
172,직박구리,철수,,2sp,원신,,,케다탈종,케이아X다이루크,"로맨틱,섹슈얼",타르종려,소설,https://dongne.co/event/game03/circles/110747,제 3회 오락관,day2
173,직선 도로 있음,L0BELLY,,2sp,노 스트레이트 로드 (NSR),,,NSR 캐릭터 전반,네온 제이XDJ 서브아토믹 슈퍼노바,"로맨틱,해당없음",,"일러스트,기타",https://dongne.co/event/game03/circles/143617,제 3회 오락관,day2
174,짱짱부스,짱짱,,1sp,,,,,,,,만화,https://dongne.co/event/game03/circles/143752,제 3회 오락관,day2
175,철아령넣었습니다,만수,,2sp,그랑블루판타지 ,페이트그랜드오더,,그레이스 아그로발 지크프리트,아그로발X지크프리트,해당없음,,"만화,소설",https://dongne.co/event/game03/circles/107065,제 3회 오락관,day2
176,체리창고,아세롤라,,1sp,베리드 스타즈,파이널 판타지,,한도윤,이규혁X한도윤,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/110806,제 3회 오락관,day2
177,칠흑색으로 진하게 칠해진 내 인생,하뭇,,2sp,파이널판타지14,,,"야만신 중심, 올캐러",,,,,https://dongne.co/event/game03/circles/107562,제 3회 오락관,day2
178,칠흑에 과몰입해버림,금사빠,,1sp,파이널판타지14,,,수정공,,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/105862,제 3회 오락관,day2
179,코너의 숲,Ya2der,,2sp,디트로이트 비컴 휴먼,,,코너,행크X코너,"로맨틱,섹슈얼",코너른,"만화,일러스트",https://dongne.co/event/game03/circles/108743,제 3회 오락관,day2
180,코발트블루,cools,,2sp,로드 오브 히어로즈,앙스타,,올캐러,,해당없음,,,https://dongne.co/event/game03/circles/110954,제 3회 오락관,day2
181,코스모가느껴져,애두,,2sp,닌텐도,"젤다,데레마스,괴혼",,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/105257,제 3회 오락관,day2
182,택냥 오브 히어로즈 ,댕댕,,1sp,러브 앤 프로듀서,로드 오브 히어로즈/쿠키런,,이볼즈,,로맨틱,,"만화,일러스트",https://dongne.co/event/game03/circles/107413,제 3회 오락관,day2
183,튀김장인 시도우,로푸닝,,1sp,록맨,,,록맨,,,,,https://dongne.co/event/game03/circles/144192,제 3회 오락관,day2
184,파블로프의 도기,7H,,1sp,버디미션 BOND,,버디버디 ~사람과 사람을 잇는 본드~ 2회,루크 윌리엄스,체슬리X루크,로맨틱,아론루크,소설,https://dongne.co/event/game03/circles/143830,제 3회 오락관,day2
185,폭포 공포증,너드,,2sp,페이트 그랜드 오더,파이널판타지14,,"신주쿠의 아처, 셜록홈즈(FGO)",신주쿠의 아쳐X셜록홈즈 (FGO),해당없음,,만화,https://dongne.co/event/game03/circles/104343,제 3회 오락관,day2
186,풍세카,꼰,,1sp,프로젝트 세카이,파이어 엠블렘 풍화설월,,,,,,만화,https://dongne.co/event/game03/circles/143517,제 3회 오락관,day2
187,퓨어 앤 이노센트,엘리조,,1sp,애프터라이프,,,"기이, 에단",,,,만화,https://dongne.co/event/game03/circles/105089,제 3회 오락관,day2
188,프리스트라이커의 3스킬,서소현,,2sp,로드 오브 히어로즈(LOH),,,,,해당없음,,"공예,일러스트",https://dongne.co/event/game03/circles/120824,제 3회 오락관,day2
189,피자파티비,청년피자,,1sp,에리오스 라이징 히어로즈,,,,,,,만화,https://dongne.co/event/game03/circles/148565,제 3회 오락관,day2
190,하루우유 한 잔 ,이른새벽,,2sp,블랙서바이벌,이터널 리턴,,,,,,소설,https://dongne.co/event/game03/circles/144965,제 3회 오락관,day2
191,햇살이 강해졌다!,룬츠,,1sp,KOF (더 킹 오브 파이터즈),"포켓몬스터, Ib",,,,해당없음,,소설,https://dongne.co/event/game03/circles/106460,제 3회 오락관,day2
192,헨랴야<<호>>,eyahaha11,,2sp,파판14,앙스타!!,,수정공 뉴라하 마다라 코하쿠 ,,,,일러스트,https://dongne.co/event/game03/circles/149736,제 3회 오락관,day2
193,"형사님, 여기서 주무시면 입 돌아가요",Lemon,,1sp,디트로이트 비컴 휴먼,,,"개빈 리드, RK900",RK900X개빈,섹슈얼,행크코너,소설,https://dongne.co/event/game03/circles/106969,제 3회 오락관,day2
194,흥분금지,오이,,2sp,마법사의 약속,,,,브래들리X네로,"로맨틱,해당없음","원주종, 동주종, 미스루틸, 인연조",만화,https://dongne.co/event/game03/circles/148086,제 3회 오락관,day2
195,희망아저씨네 티끌은행,반바지맨,,1sp,데스티니 가디언즈,,,"방랑자, 신 말퍼르, 수호자",,"로맨틱,섹슈얼",,"만화,소설,기타",https://dongne.co/event/game03/circles/144887,제 3회 오락관,day2
196,히히코마워요,아즈,,1sp,단간론파,,,코마에다,히나타X코마에다,"섹슈얼,로맨틱",,만화,https://dongne.co/event/game03/circles/110631,제 3회 오락관,day2
