,부스명,대표자,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체
206,패군의 검협,semo,1sp,화산귀환,,,"장일소, 청명",,"로맨틱,섹슈얼",,소설
207,평생 현윶해,반디,1sp,내가 키운 s급들,,,성현제,,섹슈얼,,만화
208,폿,폿포푸,1sp,주술회전,,갑작스럽지만 여러분은 이타른에 대해 아십니까?,,X이타도리 유지,,,
209,프로냄비받침러,만타,1sp,토르,,,"토르,로키",,"로맨틱,섹슈얼",,"만화,일러스트"
210,프리스트라이커의 3스킬,서소현,1sp,로드 오브 히어로즈,,,,,,,"만화,공예,기타"
211,피자파티비,청년피자,1sp,에리오스 라이징 히어로즈,앙상블스타즈,,"레오나르드 라이트 주니어, 키스맥스",,,,만화
212,하기노러브,하기,2sp,,,,,,,,만화
213,하롱살롱&리진,리진,4sp,,,,,,,,
214,하지만 들어보세요,랍,2sp,"백작가의 망나니가 되었다, 쿠키런 킹덤",,,케일 헤니투스,,"로맨틱,섹슈얼",,소설
215,한계뒷산점,곰Gom,2sp,sk8,에스케이에이트,,신도 아이노스케,하세가와 란가X캰 레키,"로맨틱,섹슈얼","신도 아이노스케x키쿠치 타다시, 란레키, 아이타다",만화
216,행복万의 道,쵸이,2sp,도쿄 리벤저스,,,타케미치,사노 만지로X타케미치,해당없음,신이치로x타케미치,소설
217,허위매물 빵세권!,콩빵,1sp,쿠키런 킹덤,,,마들렌 에스프레소,마들렌X에스프레소,로맨틱,,만화
218,호두과자,유용,1sp,적국의 왕자로 사는 법,,,베른 세크리티아,,로맨틱,,
219,호클리 호키 호,호키버드,1sp,로드 오브 히어로즈,티알피지 리플레이북 배포,,미하일 블레이크,미하일 블레이크X남로드,"로맨틱,섹슈얼","크롬자이, 요한로드, ..몰라",소설
220,화산에서 성스러운 S급 아이돌로 데뷔 못하면 죽는 병 걸림,퐁,1sp,데못죽,"내스급, 성아돌, 화산귀환, 파이널판타지14",,"청려, 박문대, 김래빈, 성현제, 한유현, 렘브러리, 알피노, 아이메리크, 에스티니앙",,해당없음,,일러스트
221,화산파 솜형솜제,쇼,2sp,화산귀환,,,"조걸, 윤종",,해당없음,,"일러스트,공예,기타"
222,회심의 입심,ㅇㅇ,1sp,MIU404,,,"이부키 아이, 시마 카즈미",이부키 아이X시마 카즈미,"로맨틱,섹슈얼",,"소설,공예"
223,회전사제 앤솔로지,,,,,,,,,,
224,후식으로 메구미 어때,익명,1sp,주술회전,,,후시구로 메구미,,로맨틱,"이타후시,고죠후시,토우메구",만화
